Year,"Consumer Price Index, All items",Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,Weights,"Food and non-alcoholic beverages, Weight","Alcoholic Beverages, Tobacco, and Narcotics, Weight","Clothing and footwear, Weight","Housing, Water, Electricity, Gas and Other Fuels, Weight","Furnishings, household equipment and routine household maintenance, Weight","Health, Weight","Transport, Weight","Communication, Weight","Recreation and culture, Weight","Education, Weight","Restaurants and hotels, Weight","Miscellaneous goods and services, Weight"
6/19/2019,117.47,111.86,123.09,104.01,126,97.72,125.65,104.61,90.47,102.03,132.41,123.95,129.76,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
6/20/2019,117.66,111.84,123.81,102.71,126.32,97.79,125.94,104.81,90.5,102.14,132.58,124.22,130.3,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
6/21/2019,117.66,111.75,124.13,104.18,126.61,97.28,126.5,103.47,90.51,102.5,133.59,123.82,130.73,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
6/22/2019,117.75,111.93,124.26,107.2,126.88,97.65,126.38,102.47,90.49,102.3,134.42,123.99,131.06,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
6/23/2019,118.02,112.3,124.68,106.4,127.07,97.77,127.28,103.01,90.66,102.68,134.73,123.16,132.01,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
6/24/2019,117.96,112,124.88,103.91,127.36,97.43,127.39,102.58,91.23,102.9,134.7,122.56,132.28,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
6/25/2019,117.85,112,124.6,100.95,127.66,97.17,127.72,101.81,91.38,102.89,134.6,122.43,132.4,,72.22,12.35,29.44,363.37,37.21,74.57,142.76,32.22,65.12,27.56,73.71,69.5
1/20/2020,118.31,112.66,125.13,102.06,128.13,97.77,128.09,101.75,91.78,103.19,134.79,123.38,133.32,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/21/2020,118.63,113.09,125.8,105.08,128.31,98.15,128.31,101.39,91.68,103.37,135.02,124.54,134.24,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/22/2020,118.37,113.61,126.92,104.65,128.45,97.93,128.52,99.11,91.49,103.69,135.07,124.19,134.7,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/23/2020,117.58,116.64,127.09,100.29,128.54,98.3,128.72,94.55,91.63,103.54,135.11,123.4,132.02,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/24/2020,117.58,117.63,126.97,97.19,128.8,98.72,129.12,94.33,91.63,104.11,135.16,124.04,129.16,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/25/2020,118.23,118.2,127.45,97.2,129.21,99.17,129.36,96,91.43,103.57,135.32,124.88,131.14,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/26/2020,118.82,117.04,128.1,96.65,129.48,99.4,129.69,97.77,93.25,102.91,135.64,125.45,134.73,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/27/2020,119.2,116.94,128.17,98.42,129.66,100.03,129.66,98.6,93.61,103.4,136.09,125.58,135.14,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/28/2020,119.36,116.5,128.34,100.91,129.89,99.95,129.75,99.25,93.82,103.39,136.43,125.77,133.62,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/29/2020,119.41,116.76,128.87,100.88,130.07,99.82,129.45,99.61,93.94,103.69,136.54,125.04,132.66,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/30/2020,119.34,116.04,129.4,98.92,130.23,100.02,129.4,99.29,93.89,104.17,136.5,124.97,132.62,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/31/2020,119.45,116.42,129.49,97.17,130.47,100.13,129.32,99.56,93.81,104.08,136.5,125.14,132.94,,71.56,12.53,28.65,367.76,37.17,74.07,139.56,31.47,64.48,27.85,74.55,70.34
1/21/2021,119.96,116.83,130.78,99.6,130.72,100.51,130.32,100.68,93.89,103.57,136.41,125.73,133.64,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/22/2021,120.62,117.11,131.29,101.64,131.11,100.56,131,102.38,93.98,104.21,136.5,126.02,134.17,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/23/2021,121.47,117.35,131.87,101.99,131.35,100.93,131.3,105.87,93.92,104.56,136.11,127.08,134.73,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/24/2021,122.47,118.07,132.06,101.89,131.66,101.79,131.41,109.44,94.04,105.59,136.19,128.55,134.8,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/25/2021,123.45,118.43,132.32,102.05,132.1,103.08,131.42,113.31,94.11,105.92,136.52,129.58,134.59,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/26/2021,124.6,119.31,132.97,101.59,132.76,103.08,131.34,117.57,94.15,106.17,136.84,131.62,134.38,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/27/2021,125.2,120.04,133.35,100.5,133.2,103.05,131.82,118.65,94.13,106.78,137.15,133.65,134.5,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/28/2021,125.46,120.43,133.63,102.32,133.7,103.99,132.25,118.12,94.46,107.16,138.02,133.26,134.52,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/29/2021,125.8,121.76,134.22,104.27,134.35,105.22,132.3,117.17,94.76,107.31,139.17,133.46,134.34,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/30/2021,126.84,123.04,135.36,105.26,135.18,105.92,132.71,119.78,94.89,108.22,139.43,133.83,134.87,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
1/31/2021,127.47,123.45,136.02,104.06,135.74,106.23,132.76,122.17,94.88,108.02,139.48,134.2,135.22,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
2/1/2022,127.86,123.99,136.2,102.98,136.23,107.43,132.79,122.74,94.96,107.97,139.37,134.88,135.8,,77.18,11.61,27.2,366.29,40.25,75.41,131.28,34.26,67.96,28.09,77.44,63.03
2/2/2022,128.93,125.41,136.48,105.02,137.27,109.38,133.79,123.8,94.89,109.01,139.53,135.48,137.57,,76.32,11.59,26.62,360.66,40.16,73.57,145.16,33.35,66.64,27.23,77.73,60.98
2/3/2022,130.11,127.22,137.72,108.57,137.82,110.31,134.01,126.2,94.79,110.01,139.91,137.06,139.32,,76.32,11.59,26.62,360.66,40.16,73.57,145.16,33.35,66.64,27.23,77.73,60.98
2/4/2022,131.85,129.11,138.34,109.38,138.59,111.17,134.42,132.52,94.17,110.35,139.87,138.75,140.52,,76.32,11.59,26.62,360.66,40.16,73.57,145.16,33.35,66.64,27.23,77.73,60.98
2/5/2022,132.59,130.87,138.82,108.06,139.31,111.92,134.6,133.79,94.01,110.39,140.23,140.11,141.28,,76.32,11.59,26.62,360.66,40.16,73.57,145.16,33.35,66.64,27.23,77.73,60.98
2/6/2022,134.05,132.66,139.46,107.82,140.57,112.32,134.86,138.06,93.84,110.78,140.89,141.57,142,,76.32,11.59,26.62,360.66,40.16,73.57,145.16,33.35,66.64,27.23,77.73,60.98
2/7/2022,135.89,133.9,140.21,107.53,142.15,113.15,135.4,143.74,93.66,111.13,141.88,142.55,143.54,,76.32,11.59,26.62,360.66,40.16,73.57,145.16,33.35,66.64,27.23,77.73,60.98
